iter	MultiClass
0	1.060806272
1	1.030454102
2	1.005777271
3	0.9853846825
4	0.9683969167
5	0.9533494496
6	0.9401961814
7	0.9291913351
8	0.9181327253
9	0.9095232648
10	0.9006673594
11	0.8920994083
12	0.8840069738
13	0.8774964238
14	0.8707569739
15	0.8645927789
16	0.8588557378
17	0.850743235
18	0.845778961
19	0.8400162103
20	0.8358808378
21	0.8299188405
22	0.8261100298
23	0.8221446241
24	0.8178938153
25	0.8143822102
26	0.8096634569
27	0.8059085144
28	0.8035866069
29	0.8000883842
30	0.7968753846
31	0.7925911743
32	0.7895339415
33	0.7867384378
34	0.7838918192
35	0.7816651767
36	0.7793011846
37	0.7772687667
38	0.7747779474
39	0.7707693011
40	0.7693794062
41	0.7662358697
42	0.7633006562
43	0.7609840486
44	0.759058391
45	0.7569666575
46	0.7552161894
47	0.753478142
48	0.7515918994
49	0.7496406888
50	0.7475616173
51	0.7460809321
52	0.7433341887
53	0.7406114591
54	0.7386413568
55	0.7375433173
56	0.7358668713
57	0.7334469163
58	0.731796421
59	0.7304519374
60	0.7285806745
61	0.7262452148
62	0.7253328402
63	0.723677316
64	0.7222713665
65	0.7206931523
66	0.719286708
67	0.7180949789
68	0.7161804208
69	0.7145172613
70	0.713542601
71	0.7125430711
72	0.71163529
73	0.7099008108
74	0.7086078415
75	0.707109977
76	0.7060801049
77	0.7050083314
78	0.7040788278
79	0.7029554472
80	0.7020354603
81	0.7007878205
82	0.6998496256
83	0.6989602651
84	0.696961879
85	0.6957994829
86	0.6945787209
87	0.6933107568
88	0.6922387336
89	0.6911804301
90	0.6900470376
91	0.6889233541
92	0.6881207083
93	0.6870859831
94	0.6855731958
95	0.6848232135
96	0.6841637982
97	0.6829673097
98	0.6822217643
99	0.6812916548
100	0.680505998
101	0.6795892663
102	0.6786357556
103	0.677990474
104	0.6765719333
105	0.6760739773
106	0.6750009231
107	0.6740263294
108	0.6731505988
109	0.6718452531
110	0.6709772721
111	0.6701831363
112	0.6694330471
113	0.6686812337
114	0.6676565936
115	0.6665654434
116	0.6658749444
117	0.6649579253
118	0.6643595129
119	0.6636855338
120	0.6628554314
121	0.6620603681
122	0.6608295492
123	0.6601298684
124	0.6589030333
125	0.6580574538
126	0.6571858617
127	0.6561710421
128	0.6555549825
129	0.6551256357
130	0.6543810017
131	0.6533221201
132	0.6521558974
133	0.650719276
134	0.6498934175
135	0.6486425163
136	0.647533116
137	0.6469703087
138	0.646136225
139	0.6453282947
140	0.6447104947
141	0.6435381913
142	0.6426896087
143	0.6417180063
144	0.6409806626
145	0.6400877142
146	0.6395483692
147	0.6385399864
148	0.6377972731
149	0.6371719446
150	0.6360434116
151	0.6354307836
152	0.6342519472
153	0.6336940753
154	0.632862728
155	0.6321694467
156	0.631518375
157	0.6308147531
158	0.6301287686
159	0.6295441967
160	0.6288598378
161	0.6283505828
162	0.6278591084
163	0.6271483005
164	0.6265888001
165	0.6258060554
166	0.6250034636
167	0.6246360992
168	0.6241441771
169	0.6233666816
170	0.6227530279
171	0.6219504429
172	0.6215093631
173	0.620791783
174	0.6203043846
175	0.6193966083
176	0.6190117586
177	0.6181973367
178	0.6178212935
179	0.6173051515
180	0.6168330889
181	0.616129536
182	0.6156381827
183	0.6152108775
184	0.6143291306
185	0.613969559
186	0.6133714517
187	0.6127705187
188	0.6120199931
189	0.6115706733
190	0.6107113894
191	0.6100555446
192	0.6095177288
193	0.6089605539
194	0.608332096
195	0.6077067544
196	0.6070141072
197	0.6066260258
198	0.6058641197
199	0.6053017834
200	0.6044545281
201	0.6038424722
202	0.6033658074
203	0.6024745573
204	0.6020296755
205	0.6015437073
206	0.6008855746
207	0.6000809678
208	0.5995241578
209	0.5990979569
210	0.5986663858
211	0.5981424206
212	0.5977577404
213	0.597227569
214	0.5968667539
215	0.5962942044
216	0.5958711634
217	0.5952253804
218	0.5945975011
219	0.5941556039
220	0.5936837244
221	0.5932894978
222	0.5927350941
223	0.592279674
224	0.5918086815
225	0.5914085633
226	0.5907460135
227	0.5899909072
228	0.5893394246
229	0.5889970889
230	0.5884175489
231	0.5879423295
232	0.5874595928
233	0.5869791587
234	0.586478917
235	0.5860003957
236	0.5856696626
237	0.5852138344
238	0.5847707664
239	0.5844238648
240	0.5839206494
241	0.5831624941
242	0.5827762034
243	0.5822749895
244	0.5818431977
245	0.5814214221
246	0.5809283497
247	0.5804628661
248	0.5799955237
249	0.5796787539
250	0.5792292462
251	0.578705416
252	0.5780268377
253	0.577753282
254	0.5771650269
255	0.576634432
256	0.576203742
257	0.5759114715
258	0.5754507331
259	0.574959108
260	0.5746930057
261	0.5742610183
262	0.5738995519
263	0.5736230628
264	0.5732855524
265	0.5728234503
266	0.572306728
267	0.5719441573
268	0.5716131169
269	0.5711215653
270	0.5707419179
271	0.5702653334
272	0.5697101108
273	0.5693483098
274	0.5690222176
275	0.5685621195
276	0.5679626496
277	0.5676748885
278	0.5671996169
279	0.5668399997
280	0.5664437742
281	0.5660689512
282	0.5657535645
283	0.5652071394
284	0.5647392744
285	0.5642773296
286	0.5638459436
287	0.5636499334
288	0.5632778074
289	0.5627077182
290	0.5623156092
