iter	Passed	Remaining
0	208	208562
1	268	134125
2	325	108045
3	380	94762
4	438	87227
5	496	82203
6	551	78216
7	609	75598
8	672	74102
9	729	72255
10	785	70606
11	845	69597
12	905	68762
13	962	67764
14	1018	66870
15	1074	66079
16	1141	66000
17	1207	65882
18	1258	65001
19	1317	64536
20	1381	64422
21	1445	64280
22	1496	63584
23	1552	63150
24	1613	62915
25	1671	62602
26	1731	62392
27	1785	61971
28	1840	61622
29	1890	61115
30	1946	60852
31	2003	60603
32	2053	60178
33	2117	60154
34	2171	59867
35	2228	59685
36	2281	59382
37	2332	59058
38	2386	58815
39	2448	58757
40	2506	58629
41	2559	58386
42	2619	58305
43	2677	58168
44	2731	57974
45	2781	57688
46	2839	57573
47	2890	57324
48	2945	57162
49	2994	56897
50	3051	56776
51	3111	56724
52	3168	56621
53	3228	56551
54	3277	56304
55	3331	56155
56	3389	56074
57	3444	55947
58	3498	55792
59	3557	55732
60	3620	55729
61	3673	55571
62	3732	55514
63	3781	55299
64	3829	55092
65	3884	54976
66	3934	54793
67	3986	54636
68	4036	54467
69	4090	54351
70	4149	54289
71	4201	54158
72	4257	54070
73	4312	53969
74	4367	53869
75	4425	53807
76	4475	53648
77	4528	53526
78	4589	53508
79	4640	53365
80	4698	53303
81	4757	53256
82	4809	53139
83	4861	53016
84	4920	52970
85	4973	52858
86	5025	52739
87	5086	52714
88	5144	52655
89	5200	52578
90	5250	52449
91	5307	52382
92	5362	52297
93	5429	52328
94	5486	52269
95	5543	52197
96	5602	52157
97	5659	52085
98	5710	51972
99	5764	51883
100	5820	51806
101	5874	51716
102	5930	51645
103	5988	51597
104	6040	51489
105	6095	51412
106	6148	51310
107	6204	51247
108	6257	51147
109	6315	51097
110	6367	50995
111	6424	50933
112	6480	50869
113	6531	50759
114	6582	50654
115	6643	50627
116	6699	50559
117	6753	50476
118	6809	50414
119	6866	50357
120	6918	50257
121	6971	50174
122	7026	50098
123	7081	50026
124	7137	49963
125	7195	49909
126	7253	49860
127	7310	49802
128	7373	49784
129	7428	49712
130	7483	49640
131	7534	49546
132	7594	49505
133	7647	49423
134	7698	49327
135	7753	49259
136	7808	49185
137	7863	49117
138	7917	49040
139	7974	48985
140	8027	48907
141	8075	48794
142	8126	48704
143	8179	48621
144	8234	48556
145	8282	48448
146	8336	48376
147	8391	48306
148	8447	48246
149	8505	48197
150	8562	48141
151	8618	48080
152	8675	48027
153	8727	47946
154	8781	47871
155	8836	47805
156	8887	47722
157	8936	47621
158	8988	47542
159	9048	47505
160	9112	47486
161	9161	47391
162	9214	47316
163	9269	47253
164	9324	47186
165	9374	47100
166	9433	47054
167	9494	47022
168	9546	46944
169	9600	46870
170	9651	46787
171	9706	46724
172	9760	46660
173	9816	46598
174	9870	46532
175	9925	46470
176	9974	46378
177	10033	46334
178	10087	46267
179	10140	46195
180	10194	46127
181	10249	46066
182	10297	45972
183	10352	45912
184	10409	45858
185	10465	45799
186	10518	45729
187	10572	45664
188	10623	45585
189	10674	45507
190	10728	45441
191	10780	45368
192	10837	45317
193	10890	45244
194	10940	45166
195	10994	45099
196	11052	45052
197	11104	44978
198	11154	44896
199	11211	44847
200	11269	44796
201	11323	44733
202	11375	44661
203	11434	44616
204	11493	44571
205	11548	44512
206	11599	44435
207	11654	44376
208	11708	44311
209	11757	44232
210	11807	44153
211	11861	44087
212	11919	44042
213	11976	43989
214	12028	43919
215	12081	43852
216	12139	43802
217	12196	43749
218	12254	43703
219	12314	43658
220	12363	43578
221	12409	43489
222	12461	43418
223	12516	43362
224	12576	43317
225	12627	43246
226	12684	43195
227	12741	43142
228	12791	43067
229	12841	42989
230	12897	42934
231	12954	42884
232	13012	42835
233	13066	42771
234	13117	42701
235	13169	42634
236	13219	42560
237	13267	42479
238	13320	42414
239	13379	42369
240	13435	42313
241	13496	42273
242	13550	42213
243	13606	42156
244	13661	42098
245	13717	42044
246	13768	41973
247	13818	41902
248	13872	41841
249	13927	41781
250	13983	41727
251	14040	41674
252	14093	41610
253	14152	41566
254	14208	41509
255	14265	41458
256	14321	41405
257	14392	41391
258	14449	41339
259	14517	41319
260	14579	41280
261	14641	41241
262	14704	41205
263	14754	41132
264	14806	41067
265	14867	41025
266	14928	40983
267	14996	40960
268	15050	40899
269	15107	40845
270	15156	40771
271	15212	40716
272	15264	40650
273	15318	40589
274	15378	40542
275	15429	40474
276	15480	40406
277	15533	40341
278	15589	40287
279	15646	40232
280	15699	40169
281	15751	40105
282	15811	40058
283	15866	40002
284	15918	39935
285	15974	39879
286	16030	39824
287	16085	39767
288	16140	39708
289	16193	39647
290	16245	39582
291	16299	39519
292	16352	39457
293	16402	39388
294	16462	39342
295	16513	39275
296	16565	39210
297	16616	39143
298	16669	39082
299	16720	39014
300	16773	38951
301	16827	38893
302	16884	38839
303	16935	38773
304	16994	38724
305	17054	38678
306	17112	38629
307	17171	38579
308	17232	38535
309	17291	38486
310	17344	38425
311	17400	38370
312	17459	38320
313	17512	38259
314	17565	38197
315	17615	38129
316	17665	38062
317	17721	38007
318	17776	37949
319	17830	37889
320	17880	37821
321	17937	37769
322	17988	37703
323	18041	37641
324	18094	37580
325	18148	37522
326	18204	37466
327	18257	37404
328	18310	37343
329	18368	37292
330	18419	37228
331	18473	37168
332	18522	37100
333	18578	37044
334	18633	36988
335	18682	36921
336	18737	36864
337	18797	36816
338	18846	36747
339	18897	36683
340	18957	36635
341	19016	36587
342	19070	36528
343	19128	36478
344	19180	36415
345	19236	36359
346	19290	36302
347	19339	36233
348	19390	36170
349	19450	36122
350	19504	36064
351	19564	36016
352	19618	35957
353	19671	35897
354	19727	35842
355	19783	35787
356	19835	35726
357	19887	35663
358	19943	35609
359	19997	35550
360	20048	35487
361	20102	35429
362	20159	35375
363	20207	35308
364	20259	35245
365	20315	35190
366	20367	35129
367	20422	35072
368	20482	35025
369	20536	34967
370	20595	34918
371	20648	34857
372	20698	34793
373	20752	34736
374	20805	34676
375	20856	34613
376	20910	34555
377	20965	34498
378	21019	34440
379	21073	34382
380	21128	34326
381	21189	34280
382	21244	34224
383	21297	34165
384	21347	34100
385	21405	34049
386	21462	33996
387	21513	33934
388	21565	33873
389	21615	33809
390	21672	33755
391	21722	33692
392	21774	33630
393	21830	33577
394	21886	33522
395	21935	33457
396	21990	33400
397	22044	33343
398	22106	33298
399	22162	33243
400	22213	33182
401	22274	33134
402	22326	33074
403	22376	33010
404	22430	32954
405	22478	32887
406	22534	32832
407	22585	32771
408	22638	32712
409	22692	32654
410	22746	32597
411	22800	32541
412	22849	32475
413	22910	32428
414	22968	32377
415	23020	32317
416	23074	32260
417	23132	32207
418	23192	32158
419	23245	32101
420	23296	32039
421	23347	31977
422	23406	31928
423	23458	31868
424	23512	31810
425	23564	31751
426	23618	31693
427	23671	31635
428	23725	31579
429	23781	31524
430	23836	31469
431	23889	31409
432	23944	31354
433	24000	31300
434	24053	31242
435	24107	31185
436	24161	31127
437	24212	31067
438	24267	31010
439	24320	30953
440	24374	30896
441	24433	30846
442	24490	30793
443	24542	30733
444	24594	30674
445	24656	30627
446	24716	30577
447	24766	30515
448	24818	30456
449	24871	30398
450	24933	30350
451	24988	30295
452	25041	30238
453	25094	30179
454	25151	30127
455	25206	30071
456	25254	30007
457	25310	29953
458	25361	29892
459	25418	29838
460	25471	29780
461	25522	29720
462	25577	29664
463	25628	29605
464	25684	29551
465	25743	29500
466	25796	29441
467	25845	29379
468	25895	29318
469	25946	29258
470	26005	29207
471	26059	29150
472	26113	29094
473	26160	29030
474	26220	28980
475	26275	28925
476	26327	28866
477	26389	28818
478	26444	28763
479	26494	28702
480	26544	28641
481	26599	28585
482	26655	28531
483	26706	28471
484	26759	28415
485	26817	28362
486	26871	28305
487	26923	28247
488	26980	28194
489	27043	28147
490	27098	28091
491	27150	28033
492	27217	27990
493	27276	27938
494	27329	27881
495	27384	27826
496	27438	27769
497	27489	27710
498	27540	27651
499	27593	27593
500	27645	27535
501	27695	27475
502	27747	27416
503	27804	27362
504	27855	27304
505	27908	27246
506	27961	27189
507	28015	27133
508	28071	27078
509	28125	27022
510	28181	26968
511	28236	26912
512	28292	26858
513	28348	26803
514	28404	26749
515	28461	26696
516	28512	26637
517	28569	26583
518	28619	26524
519	28674	26468
520	28732	26415
521	28784	26357
522	28843	26306
523	28899	26252
524	28953	26196
525	29003	26136
526	29058	26081
527	29115	26027
528	29166	25968
529	29216	25909
530	29270	25853
531	29324	25796
532	29380	25742
533	29439	25690
534	29489	25631
535	29541	25572
536	29595	25516
537	29653	25464
538	29707	25408
539	29757	25349
540	29811	25293
541	29868	25239
542	29918	25180
543	29978	25129
544	30034	25074
545	30088	25018
546	30144	24964
547	30197	24907
548	30252	24852
549	30308	24797
550	30360	24740
551	30413	24683
552	30473	24632
553	30531	24579
554	30584	24522
555	30638	24466
556	30690	24409
557	30747	24355
558	30799	24297
