iter	MultiClass
0	1.062866299
1	1.032893312
2	1.008021979
3	0.9874503397
4	0.9705039927
5	0.9547162059
6	0.9419783388
7	0.9297264918
8	0.9177744226
9	0.9083328646
10	0.8994535916
11	0.8905965874
12	0.8815946226
13	0.8738180014
14	0.8678077728
15	0.8609279189
16	0.8557774957
17	0.8500088275
18	0.8443622455
19	0.8389836943
20	0.8355167579
21	0.8315901976
22	0.8273308975
23	0.8241385901
24	0.8192668969
25	0.8159363695
26	0.8118761828
27	0.8087816707
28	0.8056244469
29	0.8022411875
30	0.8001420581
31	0.7963878621
32	0.793819666
33	0.7916144397
34	0.7889570801
35	0.78656732
36	0.7832697441
37	0.7798685629
38	0.7776987022
39	0.7757044904
40	0.7730044171
41	0.7714163439
42	0.768235046
43	0.7652741218
44	0.7622486974
45	0.7602494366
46	0.7579613919
47	0.7557453993
48	0.7536870162
49	0.7520183761
50	0.7502550711
51	0.7486242291
52	0.7468910506
53	0.744721599
54	0.7430765379
55	0.7414183342
56	0.7392366572
57	0.7374840175
58	0.735677145
59	0.7341764173
60	0.7326378087
61	0.7308599378
62	0.7296708731
63	0.7287039069
64	0.7271054989
65	0.7256003166
66	0.7243746929
67	0.7229465838
68	0.721849858
69	0.7207063966
70	0.7194098886
71	0.7179313028
72	0.7162330524
73	0.7152218861
74	0.7136550913
75	0.712093913
76	0.711014102
77	0.7094003332
78	0.7083280657
79	0.707250514
80	0.7060205382
81	0.7048903496
82	0.703687246
83	0.7026580061
84	0.701009861
85	0.6990728083
86	0.6981389305
87	0.6968353696
88	0.6960115234
89	0.6947565885
90	0.6932388308
91	0.6923516649
92	0.6915027516
93	0.6907396113
94	0.6894040551
95	0.6884262223
96	0.6876726334
97	0.6868936884
98	0.6857716637
99	0.6844089251
100	0.6836284361
101	0.6826236427
102	0.6818577579
103	0.681040711
104	0.6799836847
105	0.6788494308
106	0.6782166645
107	0.6771493245
108	0.6764440745
109	0.6754770947
110	0.6741755974
111	0.6728610526
112	0.671785579
113	0.6708984915
114	0.6701651677
115	0.6695359917
116	0.6687932555
117	0.6674131104
118	0.6663972444
119	0.6656214719
120	0.6643618415
121	0.6634777839
122	0.6626181991
123	0.6613967801
124	0.6605218544
125	0.6598453488
126	0.6591551189
127	0.6582201029
128	0.6575811428
129	0.6563924248
130	0.6555936835
131	0.6546518193
132	0.653775929
133	0.653048427
134	0.6521923877
135	0.651512746
136	0.6506591456
137	0.6497292912
138	0.6490348747
139	0.6481805132
140	0.6474325878
141	0.6466997066
142	0.6459817322
143	0.6453537014
144	0.6447422941
145	0.6434226956
146	0.6427211878
147	0.6420667044
148	0.6410255213
149	0.6402466859
150	0.6396070063
151	0.6389530296
152	0.6383891349
153	0.6374246054
154	0.6366061101
155	0.6353935676
156	0.6348221208
157	0.6341610172
158	0.633327139
159	0.6327611183
160	0.632036802
161	0.6308841354
162	0.6300794966
163	0.6291126378
164	0.6284210463
165	0.6276865562
166	0.6270437419
167	0.6262844185
168	0.6256364979
169	0.6250360614
170	0.624197798
171	0.6233861385
172	0.6227561739
173	0.6219821564
174	0.6215596923
175	0.6205875098
176	0.6201639811
177	0.6194397484
178	0.6187302517
179	0.6182150718
180	0.6177007574
181	0.617164196
182	0.6165744265
183	0.6161724438
184	0.615111191
185	0.6142349711
186	0.6135662713
187	0.6130251931
188	0.6124052908
189	0.61191899
190	0.6114387823
191	0.610824993
192	0.6102042902
193	0.6095684565
194	0.6086368758
195	0.6078378969
196	0.6071317848
197	0.6065285572
198	0.6061752717
199	0.6055183446
200	0.6050049624
201	0.6044551609
202	0.6039070202
203	0.6031063216
204	0.6025299958
205	0.6017735797
206	0.6009436829
207	0.6003706954
208	0.5998566152
209	0.5990609192
210	0.5984758565
211	0.5978050731
212	0.597115739
213	0.5968276967
214	0.5962168995
215	0.5954932275
216	0.5949872062
217	0.5946325789
218	0.5940337498
219	0.5933203392
220	0.5929128885
221	0.5920353783
222	0.5915050271
223	0.5907845099
224	0.5904220669
225	0.5899268118
226	0.5894943835
227	0.5887992742
228	0.5881931401
229	0.5874726812
230	0.587002918
231	0.5863710386
232	0.5859276582
233	0.5854127714
234	0.5851085414
235	0.5845378115
236	0.5841217025
237	0.5835467253
238	0.58313922
239	0.5828505956
240	0.5825328018
241	0.5820830373
242	0.5816908614
243	0.5811331432
244	0.5807328006
245	0.5801988963
246	0.5798473166
247	0.5795777474
248	0.5791201479
249	0.5784534217
250	0.5779284806
251	0.5775135633
252	0.5771341536
253	0.5766121853
254	0.5762114674
255	0.5758543442
256	0.5754706193
257	0.5751162231
258	0.5747111456
259	0.5741902253
260	0.5738100907
261	0.573362646
262	0.5729055269
263	0.5722383652
264	0.5718474833
265	0.5714652935
266	0.5712105109
267	0.5709312623
268	0.5704036949
269	0.569931653
270	0.569529679
271	0.5691773824
272	0.5688469646
273	0.5684076709
274	0.5680252886
275	0.5676372022
276	0.5671266925
277	0.5667371928
278	0.5661230559
279	0.5656842144
280	0.565372778
281	0.564932889
282	0.5645300446
283	0.5641757251
284	0.5638348457
285	0.5634474362
286	0.5630908104
287	0.5625065223
288	0.5622189099
289	0.5619462504
290	0.5613709634
291	0.5609025918
292	0.5603836531
293	0.5599908818
294	0.5596059396
295	0.5593770121
296	0.5591991122
297	0.558981996
298	0.5585543672
299	0.5581478805
300	0.5578554829
301	0.5576657302
302	0.5573996192
303	0.5570823445
304	0.556757752
305	0.556351838
306	0.5560410075
307	0.5557017093
308	0.5554231498
309	0.5551404972
310	0.5547491505
311	0.5542464222
312	0.553985178
313	0.5536628544
314	0.553402365
315	0.5531691137
316	0.5527517854
317	0.5524125067
318	0.5519309059
319	0.5516199305
320	0.5511937425
321	0.5509870346
322	0.5507459746
323	0.5505110135
324	0.5502546731
325	0.5499972711
326	0.5496579569
327	0.5492974632
328	0.5489090488
329	0.5486304449
330	0.5481009167
331	0.5476801012
332	0.5472793631
333	0.5469812217
334	0.5466738964
335	0.5463335958
336	0.5458939876
337	0.5455945056
338	0.5453052036
339	0.5449681165
340	0.5446244418
341	0.5441785583
342	0.5439177113
343	0.543709751
344	0.5433609391
345	0.5428566267
346	0.54242448
347	0.5421059965
348	0.5417956645
349	0.5413727306
350	0.5410892625
351	0.5407792298
352	0.5404167144
353	0.5400691766
354	0.5397261917
355	0.5395016758
356	0.5392731249
357	0.5390012463
358	0.538833216
359	0.5385178073
360	0.5380753916
361	0.5378392548
362	0.5374660963
363	0.5372455611
364	0.5369590355
365	0.5366052572
366	0.5363162461
367	0.536004791
368	0.5357193899
369	0.5353229686
370	0.5349822454
371	0.5346976
372	0.5342853931
373	0.5340495762
374	0.5338983437
375	0.5336426306
376	0.5334683987
377	0.5332219569
378	0.5329606778
379	0.5327024807
380	0.5324683552
381	0.5322276528
382	0.5318468263
383	0.5317021083
384	0.5313875722
385	0.5311440652
386	0.5308100071
387	0.5305040623
388	0.5303591988
389	0.5301731316
390	0.529990807
391	0.5296067277
392	0.5291929529
393	0.5287369188
394	0.5283646444
395	0.5280664901
396	0.5276762767
397	0.5274368754
398	0.5272374365
399	0.5270236636
400	0.5269325492
401	0.5265454576
402	0.5261644939
403	0.525954936
404	0.5257576733
405	0.5254076979
406	0.525030877
407	0.5247781231
408	0.5246225992
409	0.5244743481
410	0.524195561
411	0.5240093368
412	0.5237042469
413	0.5234916625
414	0.5233225922
415	0.5230308908
416	0.5227300362
417	0.5224059801
418	0.5221694039
419	0.5219337674
420	0.5217454985
421	0.5214795454
422	0.5212894737
423	0.520974642
424	0.5207589497
425	0.5204437552
426	0.5202531946
427	0.5201158096
428	0.5198602668
429	0.5194699959
430	0.5190732391
431	0.5188690975
432	0.5185556548
433	0.5182677192
434	0.5180612209
435	0.517816391
436	0.5174072696
437	0.5170310233
438	0.5168081492
439	0.51648984
440	0.5162464365
441	0.5161261167
442	0.5159799519
443	0.5155822028
444	0.5153601005
445	0.51510104
446	0.5147998595
447	0.514531071
448	0.5143838262
449	0.5141021229
450	0.5137360903
451	0.5135802871
452	0.5133964491
453	0.5131680661
454	0.5129656618
455	0.5127738041
456	0.5125139691
457	0.5122143705
458	0.5120829367
459	0.5118520277
460	0.5116919327
461	0.5114611208
462	0.5113117391
463	0.5110001189
464	0.5108598257
465	0.5105913317
466	0.510375647
467	0.5103031388
468	0.5100977248
469	0.5099183244
470	0.5096902825
471	0.5093909034
472	0.5090946972
473	0.5089909237
474	0.5087900609
475	0.5085668743
476	0.5083645258
477	0.5081238717
478	0.5079772914
479	0.5077849707
480	0.5076271045
481	0.5074883221
482	0.5073437378
483	0.5071967627
484	0.5070930742
485	0.5068554882
486	0.5066297509
487	0.5063601013
488	0.5061896841
489	0.5060098916
490	0.5057932109
491	0.505582515
492	0.5054153448
493	0.5052768081
494	0.5051008127
495	0.5049470624
496	0.5047649269
497	0.5045236252
498	0.5043452884
499	0.5041231182
500	0.5040262003
501	0.5037173174
502	0.5034940739
503	0.503337227
504	0.5032074885
505	0.5030274446
506	0.5028361474
507	0.502665652
508	0.5024119691
509	0.5022203389
510	0.5019791724
511	0.5016214952
512	0.5014475769
513	0.5013636796
514	0.5010555156
515	0.5008407088
516	0.5005773825
517	0.5004734173
518	0.5002198995
519	0.5000073948
520	0.499753912
521	0.499592487
522	0.4995256941
523	0.4994725912
524	0.4992482566
525	0.4990616045
526	0.4988292512
527	0.4986978306
528	0.4986059761
529	0.4983953523
530	0.4983357225
531	0.4981657413
532	0.4980298972
533	0.4978928724
534	0.4976539055
535	0.4975424587
536	0.4974168409
537	0.4972758444
538	0.4971467274
539	0.4969433866
540	0.4968166405
541	0.4966917133
542	0.4965134371
543	0.4962642695
544	0.4960955313
545	0.4959355547
546	0.4958014071
547	0.495635647
548	0.4953948315
549	0.4951750781
550	0.4948940067
551	0.494772132
552	0.4945780868
553	0.4944675484
554	0.494302117
555	0.4940712587
556	0.4938548213
557	0.4936024259
558	0.4932534219
559	0.4930721799
560	0.4928550158
561	0.4926400713
562	0.4925713167
563	0.4923345562
564	0.492157989
565	0.4920267196
566	0.4917727426
567	0.4916699987
568	0.4915248337
569	0.4913840468
570	0.491147253
571	0.4909967053
572	0.4907993188
573	0.4905833146
574	0.490351676
575	0.4900821023
576	0.4899166627
577	0.4897390607
578	0.4895288714
579	0.4892472858
580	0.488960963
581	0.488690181
582	0.4885796919
583	0.4883633042
584	0.4881974485
585	0.4880221937
586	0.4879445892
587	0.4876440725
588	0.4874018231
589	0.4872831245
590	0.4871011414
591	0.4868834946
592	0.486703163
593	0.4865547224
594	0.4863898704
595	0.4861735973
596	0.4859311297
597	0.4858326743
598	0.4856176901
599	0.4855136884
600	0.4852987452
601	0.4851219371
602	0.4849733515
603	0.4848545305
604	0.4846583171
605	0.4845740473
606	0.4843548719
607	0.4841851311
608	0.4839530686
609	0.483717612
610	0.4834869896
611	0.4833010156
612	0.4831091091
613	0.4829630971
614	0.4827713904
615	0.4825488052
616	0.4824450375
617	0.4823487839
618	0.482185333
619	0.4820899283
620	0.4819730483
621	0.4819083735
622	0.4817456731
623	0.481572139
624	0.4813643582
625	0.4812173806
626	0.4810459193
627	0.4809021137
628	0.4807254553
629	0.4806467919
630	0.480508605
631	0.4803651856
632	0.4802760431
633	0.4801120833
634	0.4800612511
635	0.4799376213
636	0.4797114956
