iter	Passed	Remaining
0	124	124071
1	223	111334
2	320	106539
3	423	105556
4	528	105089
5	628	104090
6	718	101994
7	831	103164
8	934	102900
9	1045	103520
10	1140	102563
11	1246	102606
12	1341	101817
13	1431	100793
14	1515	99542
15	1618	99541
16	1718	99357
17	1802	98328
18	1902	98237
19	1999	97980
20	2091	97522
21	2193	97516
22	2296	97538
23	2381	96851
24	2483	96845
25	2571	96333
26	2669	96216
27	2759	95789
28	2864	95916
29	2953	95509
30	3045	95204
31	3139	94983
32	3241	94975
33	3331	94654
34	3420	94316
35	3522	94328
36	3607	93891
37	3709	93915
38	3799	93617
39	3883	93197
40	3978	93068
41	4059	92587
42	4151	92402
43	4233	91977
44	4327	91846
45	4427	91816
46	4526	91780
47	4608	91411
48	4698	91194
49	4790	91017
50	4886	90920
51	4980	90792
52	5077	90720
53	5157	90345
54	5238	90002
55	5327	89799
56	5406	89445
57	5493	89226
58	5590	89156
59	5668	88808
60	5749	88506
61	5837	88315
62	5922	88083
63	6014	87955
64	6104	87813
65	6218	87995
66	6318	87992
67	6414	87916
68	6527	88078
69	6620	87956
70	6722	87964
71	6830	88039
72	6940	88136
73	7056	88299
74	7160	88312
75	7261	88287
76	7368	88331
77	7478	88397
78	7595	88548
79	7721	88798
80	7825	88782
81	7910	88562
82	8017	88574
83	8108	88424
84	8196	88234
85	8285	88053
86	8380	87950
87	8477	87853
88	8573	87761
89	8678	87744
90	8765	87556
91	8854	87390
92	8948	87274
93	9039	87122
94	9140	87073
95	9229	86910
96	9311	86682
97	9395	86473
98	9490	86372
99	9595	86362
100	9682	86183
101	9765	85971
102	9855	85827
103	9934	85589
104	10023	85434
105	10112	85286
106	10193	85074
107	10281	84916
108	10367	84744
109	10458	84615
110	10554	84533
111	10649	84436
112	10742	84323
113	10825	84132
114	10922	84056
115	11006	83876
116	11095	83737
117	11175	83532
118	11273	83461
119	11364	83340
120	11454	83214
121	11547	83103
122	11631	82931
123	11726	82844
124	11814	82701
125	11902	82564
126	11990	82423
127	12090	82365
128	12177	82222
129	12269	82114
130	12359	81990
131	12447	81852
132	12536	81724
133	12638	81681
134	12736	81607
135	12840	81575
136	12927	81434
137	13030	81391
138	13127	81313
139	13222	81221
140	13310	81089
141	13404	80995
142	13492	80862
143	13584	80749
144	13682	80681
